k = 1	purity = 0.4833912439193885	RI = 0.2806709547061144
k = 2	purity = 0.6361362056984017	RI = 0.7755380468928456
k = 3	purity = 0.636275191104934	RI = 0.8702382793239649
k = 4	purity = 0.7270326615705351	RI = 0.8895555316240092
k = 5	purity = 0.6347463516330786	RI = 0.6204129865877633
k = 6	purity = 0.758443363446838	RI = 0.7797900151686297
k = 7	purity = 0.804864489228631	RI = 0.9373379223951465
k = 8	purity = 0.809728978457262	RI = 0.7894756077713995
k = 9	purity = 0.828353022932592	RI = 0.7786795227362836
k = 10	purity = 0.8073662265462126	RI = 0.763572514114649
k = 11	purity = 0.8693537178596248	RI = 0.7891690865162424
k = 12	purity = 0.8375260597637249	RI = 0.7771071621913334
k = 13	purity = 0.7945795691452398	RI = 0.7606786042156332
k = 14	purity = 0.8015288394718555	RI = 0.7536366125615185
k = 15	purity = 0.8706045865184155	RI = 0.7716779034935175
k = 16	purity = 0.8068102849200834	RI = 0.7592539410186114
k = 17	purity = 0.8854760250173732	RI = 0.7720108503270117
k = 18	purity = 0.8875608061153579	RI = 0.7678242505871143
k = 19	purity = 0.9121612230715774	RI = 0.8102163256179852
k = 20	purity = 0.9081306462821404	RI = 0.7709735691095034
